Script started on 2024-04-29 14:06:23+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Config updated: {'brokeraddr': '10.42.0.1', 'brokerport': '1883', 'plot_xlims': '(-3500,3500)', 'plot_ylims': '(-3500,3500)', 'clusterrad': '500.0', 'clustersz': '1', 'radar1_en': 'True', 'radar2_en': 'False', 'radar3_en': 'False', 'radar4_en': 'False', 'radar1_x': '0.0', 'radar1_y': '-3000.0', 'radar1_a': '0.0', 'radar2_x': '-3000.0', 'radar2_y': '0.0', 'radar2_a': '-90.0', 'radar3_x': '0.0', 'radar3_y': '3000.0', 'radar3_a': '180.0', 'radar4_x': '3000.0', 'radar4_y': '0.0', 'radar4_a': '90.0', 'default': '<Section: DEFAULT>'}
Connected to MQTT broker.
14:08:27 [(-329.0, 2160.0)]
14:08:27 [(-331.0, 2161.0)]
14:08:27 [(-329.0, 2165.0)]
14:08:27 [(-330.0, 2168.0)]
14:08:27 [(-327.0, 2171.0)]
14:08:27 [(-318.0, 2170.0)]
14:08:27 [(-313.0, 2166.0)]
14:08:27 [(-304.0, 2162.0)]
14:08:27 [(-293.0, 2161.0)]
14:08:27 [(-276.0, 2159.0)]
14:08:27 [(-231.0, 2139.0)]
14:08:28 [(-207.0, 2116.0)]
14:08:28 [(-203.0, 2091.0)]
14:08:28 [(-207.0, 2065.0)]
14:08:28 [(-224.0, 2042.0)]
14:08:28 [(-226.0, 2024.0)]
14:08:28 [(-218.0, 2020.0)]
14:08:28 [(-208.0, 2017.0)]
14:08:28 [(-198.0, 2014.0)]
14:08:28 [(-189.0, 2012.0)]
14:08:28 [(-183.0, 2008.0)]
14:08:28 [(-196.0, 1998.0)]
14:08:29 [(-247.0, 1963.0)]
14:08:29 [(-263.0, 1951.0)]
14:08:29 [(-279.0, 1940.0)]
14:08:29 [(-294.0, 1930.0)]
14:08:29 [(-309.0, 1920.0)]
14:08:29 [(-323.0, 1910.0)]
14:08:29 [(-341.0, 1896.0)]
14:08:29 [(-375.0, 1872.0)]
14:08:29 [(-484.0, 1789.0)]
14:08:29 [(-698.0, 1619.0)]
14:08:29 [(-865.0, 1493.0)]
14:08:30 [(-1010.0, 1384.0)]
14:08:30 [(-1135.0, 1291.0)]
14:08:30 [(-1192.0, 1243.0)]
14:08:30 [(-1214.0, 1231.0)]
14:08:30 [(-1241.0, 1218.0)]
14:08:30 [(-1271.0, 1210.0)]
14:08:30 [(-1308.0, 1195.0)]
14:08:30 [(-1348.0, 1180.0)]
14:08:30 [(-1373.0, 1165.0)]
14:08:30 [(-1380.0, 1160.0)]
14:08:30 [(-1386.0, 1157.0)]
14:08:31 [(-1395.0, 1152.0)]
14:08:31 [(-1405.0, 1147.0)]
14:08:31 [(-1414.0, 1142.0)]
14:08:31 [(-1428.0, 1133.0)]
14:08:31 [(-1460.0, 1096.0)]
14:08:31 [(-1493.0, 1062.0)]
14:08:31 [(-1536.0, 1020.0)]
14:08:31 [(-1616.0, 957.0)]
14:08:31 [(-1702.0, 916.0)]
14:08:31 [(-1782.0, 905.0)]
14:08:31 [(-1832.0, 894.0)]
14:08:32 [(-1866.0, 902.0)]
14:08:32 [(-1912.0, 913.0)]
14:08:32 [(-1952.0, 916.0)]
14:08:32 [(-1979.0, 925.0)]
14:08:32 [(-1995.0, 951.0)]
14:08:32 [(-2016.0, 973.0)]
14:08:32 [(-2049.0, 985.0)]
14:08:32 [(-2084.0, 996.0)]
14:08:32 [(-2132.0, 980.0)]
14:08:32 [(-2182.0, 957.0)]
14:08:32 [(-2260.0, 909.0)]
14:08:32 [(-2327.0, 878.0)]
14:08:33 [(-2366.0, 851.0)]
14:08:33 [(-2382.0, 825.0)]
14:08:33 [(-2387.0, 808.0)]
14:08:33 [(-2394.0, 797.0)]
14:08:33 [(-2390.0, 796.0)]
14:08:33 [(-2397.0, 795.0)]
14:08:33 [(-2423.0, 805.0)]
14:08:33 [(-2443.0, 823.0)]
14:08:33 [(-2472.0, 839.0)]
14:08:33 [(-2505.0, 856.0)]
14:08:33 [(-2544.0, 877.0)]
14:08:34 [(-2578.0, 900.0)]
14:08:34 [(-2602.0, 927.0)]
14:08:34 [(-2613.0, 965.0)]
