Script started on 2024-04-29 14:51:01+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="92" LINES="23"]
App start.
Connected to MQTT broker.
14:52:17 [(-909.0, 2095.0)]
14:52:17 [(-990.0, 2085.0)]
14:52:18 [(-1067.0, 2060.5)]
14:52:18 [(-1155.0, 2042.0)]
14:52:18 [(-1237.0, 2032.5)]
14:52:18 [(-1301.5, 2011.5)]
14:52:18 [(-1363.0, 1981.0)]
14:52:18 [(-1435.5, 1941.0)]
14:52:18 [(-1500.5, 1902.5)]
14:52:18 [(-1533.0, 1908.5)]
14:52:18 [(-1561.0, 1913.5)]
14:52:18 [(-1581.0, 1907.5)]
14:52:18 [(-1615.5, 1910.5)]
14:52:19 [(-1651.5, 1924.0)]
14:52:19 [(-1682.0, 1918.5)]
14:52:19 [(-1715.0, 1905.0)]
14:52:19 [(-1739.5, 1893.0)]
14:52:19 [(-1760.5, 1863.0)]
14:52:19 [(-1777.5, 1832.0)]
14:52:19 [(-1788.5, 1803.0)]
14:52:19 [(-1798.0, 1784.5)]
14:52:19 [(-1802.5, 1764.0)]
14:52:19 [(-1808.0, 1732.0)]
14:52:19 [(-1826.5, 1681.5)]
14:52:20 [(-1858.5, 1637.0)]
14:52:20 [(-1907.5, 1568.5)]
14:52:20 []
14:52:20 []
14:52:20 [(-1937.5, 1408.5)]
14:52:20 [(-1931.5, 1361.5)]
14:52:20 [(-1937.5, 1310.0)]
14:52:20 [(-1958.0, 1254.5)]
14:52:20 [(-1975.5, 1193.5)]
14:52:20 [(-1982.5, 1126.5)]
14:52:20 [(-1982.5, 1057.5)]
14:52:21 [(-1982.0, 988.0)]
14:52:21 [(-1980.5, 913.0)]
14:52:21 [(-1981.0, 839.5)]
14:52:21 [(-1984.0, 750.0)]
14:52:21 [(-1982.5, 661.5)]
14:52:21 [(-1984.5, 559.0)]
14:52:21 [(-1987.5, 457.5)]
14:52:21 [(-1989.5, 353.5)]
14:52:21 [(-1990.0, 251.0)]
14:52:21 [(-1990.0, 150.5)]
14:52:21 [(-1991.5, 58.5)]
14:52:22 [(-1974.5, -36.0)]
14:52:22 [(-1955.5, -129.5)]
14:52:22 [(-1940.5, -245.5)]
14:52:22 [(-1934.5, -364.0)]
14:52:22 [(-1932.5, -492.0)]
14:52:22 [(-1937.0, -612.0)]
14:52:22 [(-1949.0, -722.0)]
14:52:22 [(-1972.5, -836.0)]
14:52:22 [(-1993.5, -928.5)]
14:52:22 [(-2013.5, -1028.5)]
14:52:22 [(-2025.0, -1119.0)]
14:52:22 [(-2038.5, -1215.0)]
14:52:23 [(-2044.5, -1297.5)]
14:52:23 [(-2036.0, -1355.5)]
14:52:23 [(-2022.0, -1399.0)]
14:52:23 [(-2006.0, -1439.5)]
14:52:23 [(-2001.0, -1516.0)]
14:52:23 [(-1984.0, -1598.0)]
14:52:23 [(-1957.0, -1674.5)]
14:52:23 [(-1924.0, -1731.0)]
14:52:23 [(-1914.0, -1793.0)]
14:52:23 [(-1906.5, -1838.5)]
14:52:23 [(-1908.0, -1875.0)]
14:52:24 [(-1906.0, -1907.0)]
14:52:24 [(-1905.0, -1942.0)]
14:52:24 [(-1905.5, -1969.0)]
14:52:24 [(-1899.5, -1992.5)]
14:52:24 [(-1896.0, -2002.0)]
14:52:24 [(-1898.5, -2003.5)]
14:52:24 [(-1890.5, -2000.5)]
14:52:24 [(-1877.0, -1997.5)]
14:52:24 [(-1863.5, -2000.0)]
14:52:24 [(-1851.0, -2002.5)]
14:52:24 [(-1837.0, -2011.0)]
14:52:25 [(-1818.5, -2015.5)]
14:52:25 [(-1787.5, -2020.5)]
14:52:25 [(-1731.0, -2013.5)]
14:52:25 [(-1662.0, -2017.0)]
14:52:25 [(-1591.5, -2028.0)]
14:52:25 [(-1531.5, -2054.5)]
14:52:25 [(-1481.0, -2085.0)]
14:52:25 [(-1419.5, -2099.0)]
14:52:25 [(-1355.0, -2110.0)]
14:52:25 [(-1286.5, -2115.0)]
14:52:25 [(-1214.5, -2119.5)]
14:52:26 [(-1135.5, -2120.0)]
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:26 []
14:52:27 []
14:52:27 [(-7.0, -2156.5)]
14:52:27 [(86.5, -2113.5)]
14:52:27 [(177.0, -2068.5)]
14:52:27 [(255.5, -2029.0)]
14:52:27 [(320.0, -2024.0)]
14:52:27 [(395.0, -2023.0)]
14:52:27 [(463.0, -2032.0)]
14:52:27 [(528.0, -2031.0)]
14:52:27 [(595.0, -2037.5)]
14:52:27 [(679.0, -2034.0)]
14:52:28 [(780.5, -2026.5)]
14:52:28 [(899.0, -2019.0)]
14:52:28 [(1023.0, -2027.0)]
14:52:28 [(1136.0, -2035.0)]
14:52:28 [(1232.5, -2046.5)]
14:52:28 [(1320.0, -2035.0)]
14:52:28 [(1399.5, -2023.0)]
14:52:28 [(1484.0, -2003.5)]
14:52:28 [(1557.0, -1971.5)]
14:52:28 [(1597.0, -1959.5)]
14:52:28 [(1645.5, -1946.0)]
14:52:29 [(1681.5, -1922.5)]
14:52:29 [(1705.5, -1905.0)]
14:52:29 [(1727.0, -1879.0)]
14:52:29 [(1746.5, -1865.0)]
14:52:29 [(1766.0, -1842.5)]
14:52:29 []
14:52:29 []
14:52:29 []
14:52:29 []
14:52:29 []
14:52:29 []
14:52:29 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:30 []
14:52:31 []
14:52:31 [(2304.0, -1345.5)]
14:52:31 [(2357.0, -1240.0)]
14:52:31 [(2403.0, -1139.5)]
14:52:31 [(2457.0, -1050.5)]
14:52:31 [(2503.0, -943.5)]
14:52:31 [(2532.5, -849.0)]
14:52:31 [(2569.0, -749.0)]
14:52:31 [(2601.0, -656.5)]
14:52:31 [(2631.0, -582.0)]
14:52:31 [(2648.5, -514.5)]
14:52:32 [(2668.0, -444.0)]
14:52:32 [(2682.5, -366.0)]
14:52:32 [(2683.0, -276.0)]
14:52:32 [(2681.5, -196.5)]
14:52:32 [(2678.0, -109.5)]
14:52:32 [(2683.0, -9.5)]
14:52:32 [(2687.0, 86.5)]
14:52:32 [(2687.5, 187.0)]
14:52:32 [(2653.5, 296.0)]
14:52:32 [(2625.5, 422.0)]
14:52:32 [(2592.0, 526.5)]
14:52:33 [(2561.0, 615.5)]
14:52:33 [(2535.0, 703.0)]
14:52:33 [(2546.0, 780.0)]
14:52:33 [(2556.0, 849.5)]
14:52:33 [(2559.0, 917.5)]
14:52:33 [(2557.5, 989.0)]
14:52:33 [(2539.0, 1063.5)]
14:52:33 [(2479.0, 1144.0)]
14:52:33 [(2422.5, 1218.0)]
14:52:33 [(2339.0, 1314.5)]
14:52:33 [(2291.0, 1380.5)]
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:34 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:35 []
14:52:36 []
14:52:36 []
14:52:36 []
14:52:36 []
14:52:36 []
14:52:36 []
14:52:36 []
Disconnected from MQTT broker, return code 0

Script done on 2024-04-29 14:53:02+08:00 [COMMAND_EXIT_CODE="0"]
